"lon","lat","ID","Ciudad"
-73.09255,-36.791621,46,"Gran Concepcion"
-73.08254,-36.801413,47,"Gran Concepcion"
-73.08783,-36.752375,48,"Gran Concepcion"
-73.11226,-36.720798,49,"Gran Concepcion"
-73.11186,-36.733861,50,"Gran Concepcion"
-73.11638,-36.690415,51,"Gran Concepcion"
-73.09042,-36.797769,52,"Gran Concepcion"
-73.08823,-36.77433,53,"Gran Concepcion"
-73.10866,-36.724011,54,"Gran Concepcion"
-73.11826,-36.711154,55,"Gran Concepcion"
-73.09385,-36.739587,56,"Gran Concepcion"
-73.10677,-36.73898,57,"Gran Concepcion"
-73.1321,-36.721803,58,"Gran Concepcion"
-73.10696,-36.787171,59,"Gran Concepcion"
-73.09156,-36.799909,60,"Gran Concepcion"
-73.08239,-36.78436,61,"Gran Concepcion"
-73.08708,-36.748006,62,"Gran Concepcion"
-73.10609,-36.780021,63,"Gran Concepcion"
-73.11056,-36.787024,64,"Gran Concepcion"
-73.11918,-36.722503,65,"Gran Concepcion"
-72.99831,-36.738716,66,"Gran Concepcion"
-73.00015,-36.741963,67,"Gran Concepcion"
-72.99377,-36.738056,68,"Gran Concepcion"
-72.97229,-36.712874,69,"Gran Concepcion"
-73.01329,-36.767516,70,"Gran Concepcion"
-72.97622,-36.721062,71,"Gran Concepcion"
-73.02102,-36.78165,72,"Gran Concepcion"
-72.99471,-36.738375,73,"Gran Concepcion"
-72.95665,-36.614082,74,"Gran Concepcion"
-72.9516,-36.638626,75,"Gran Concepcion"
-72.95603,-36.613721,76,"Gran Concepcion"
-72.95342,-36.615751,77,"Gran Concepcion"
-72.95194,-36.636934,78,"Gran Concepcion"
-72.9589,-36.610069,79,"Gran Concepcion"
-72.93545,-36.548207,80,"Gran Concepcion"
-72.96095,-36.615832,81,"Gran Concepcion"
-72.95333,-36.626125,82,"Gran Concepcion"
-72.79299,-36.628914,83,"Gran Concepcion"
-72.95136,-36.619711,84,"Gran Concepcion"
-72.97528,-36.59735,85,"Gran Concepcion"
-72.94612,-36.621931,86,"Gran Concepcion"
-72.94745,-36.611464,87,"Gran Concepcion"
-72.94946,-36.607741,88,"Gran Concepcion"
-72.9396,-36.615364,89,"Gran Concepcion"
-72.96132,-36.617098,90,"Gran Concepcion"
-72.96008,-36.617107,91,"Gran Concepcion"
-72.79469,-36.629833,92,"Gran Concepcion"
-73.15904,-37.088966,93,"Gran Concepcion"
-73.15579,-37.092088,94,"Gran Concepcion"
-73.15268,-37.077246,95,"Gran Concepcion"
-73.16146,-37.084801,96,"Gran Concepcion"
-73.15589,-37.091074,97,"Gran Concepcion"
-73.16119,-37.080887,98,"Gran Concepcion"
-73.15709,-37.094368,99,"Gran Concepcion"
-73.15613,-37.078924,100,"Gran Concepcion"
