"IDFolio";"IDPersona";"AgnoNacimiento";"IDSexo";"IDRelacionJefeHogar";"IDEstudios";"IDLugarEstudios";"IDTituloProfesional";"IDActividad";"IDJornadaTrabajo";"Ingreso";"IDTipoIngreso";"Observaciones";"EfectuaViajes";"NumeroViajes";"Factor"
38612802;2;1968;2;1;5;-1;1;11;0;0;2;1;1;6;21,97
38612802;3;1991;1;2;6;6;0;14;0;0;2;1;1;2;17,93
38612802;4;2000;2;2;3;4;0;14;0;0;2;1;1;2;29,10
38612803;1;1958;1;0;4;-1;0;4;1;900000;1;1;0;0;23,52
38612803;2;1958;2;1;4;-1;0;11;0;0;2;1;1;2;21,97
38612803;3;1980;1;2;7;-1;1;4;2;650000;1;1;1;2;40,62
38612803;4;1988;1;2;7;-1;1;4;2;0;1;1;1;2;17,93
38612804;1;1965;1;0;4;-1;0;12;0;200000;1;1;1;3;23,52
38612804;2;1967;2;1;5;-1;1;4;1;260000;1;1;0;0;21,97
38612804;3;1996;2;2;4;4;0;14;0;0;2;1;1;2;20,73
38612804;4;2004;1;2;3;4;0;14;0;0;2;1;1;2;36,32
38613502;1;1989;1;0;6;6;0;14;0;120000;1;1;1;6;28,00
38614001;1;1955;1;0;4;-1;0;9;0;550000;1;1;1;5;18,51
38614001;2;1956;2;1;4;-1;0;11;0;300000;1;1;1;2;18,63
38614001;3;1988;2;2;4;-1;0;13;0;0;2;1;1;2;18,17
38616501;1;1969;2;0;5;-1;0;4;1;250000;1;0;1;2;17,66
38616501;2;1989;2;2;6;6;0;14;0;150000;1;1;1;2;17,23
38616501;3;1995;2;2;4;4;0;14;0;0;2;0;1;2;16,67
38616501;4;1997;2;2;4;4;0;14;0;0;2;0;1;2;16,67
38616501;5;2002;1;2;3;4;0;14;0;0;2;0;1;2;29,20
38616502;1;1973;1;0;4;-1;0;4;1;500000;1;1;0;0;34,44
38616502;2;1973;2;1;4;-1;0;4;1;180000;1;0;1;4;30,92
38616502;3;1999;2;2;3;4;0;14;0;0;2;0;1;6;24,67
38616503;1;1954;1;0;4;-1;0;4;1;400000;1;1;0;0;27,01
38616503;2;1962;2;1;5;-1;1;11;0;0;2;0;1;4;27,18
38616503;3;1990;2;2;5;-1;1;4;1;200000;1;1;0;0;26,52
38616503;4;1994;1;2;4;-1;0;13;0;0;2;1;1;2;39,53
38616503;5;2006;1;2;2;3;0;14;0;0;2;0;1;2;44,16
38616503;6;2008;1;3;1;-1;0;13;0;0;2;0;1;2;44,16
38616503;7;2011;2;3;1;-1;0;13;0;0;2;1;0;0;46,78
38616504;1;1957;1;0;4;-1;0;4;1;350000;1;1;1;2;18,90
38616504;2;1960;2;1;4;-1;0;7;3;90000;1;1;1;2;17,66
38616504;3;1990;1;2;6;6;0;14;0;0;2;0;1;2;14,41
38616504;4;1980;2;3;4;-1;0;4;1;250000;1;0;1;2;29,32
38616504;5;1997;1;3;3;4;0;14;0;0;2;0;1;4;25,68
38618001;1;1943;2;0;4;-1;0;11;0;300000;1;1;1;4;28,66
38618002;1;1969;1;0;7;-1;1;3;2;600000;1;1;1;7;19,94
38618002;2;1968;2;1;5;-1;1;3;1;400000;1;1;1;5;18,63
38618002;3;1994;2;2;4;4;0;14;0;0;2;1;1;7;17,58
38618003;1;1958;2;0;4;-1;0;3;2;500000;1;0;1;4;18,63
38618003;2;1989;1;2;6;6;0;14;0;150000;1;1;1;2;15,20
38618003;3;1989;1;3;6;6;0;14;0;150000;1;1;1;2;15,20
38618301;1;1964;1;0;5;-1;1;4;1;300000;1;1;1;3;19,94
38618301;2;1966;1;4;5;-1;1;4;1;300000;1;0;1;2;19,94
38618301;3;1985;1;4;6;-1;0;4;1;500000;1;0;1;3;34,44
38618302;1;1970;1;0;5;-1;0;4;1;450000;1;0;1;6;19,94
38618302;2;1975;2;1;5;-1;0;11;0;0;2;1;0;0;30,92
38618302;3;2004;1;2;3;4;0;14;0;0;2;0;1;2;30,80
38618303;1;1919;1;0;4;-1;0;9;0;250000;1;0;1;2;26,29
38618303;2;1923;2;1;4;-1;0;9;0;80000;1;0;1;2;27,70
