IDFolio;IDPersona;IDViaje;Factor;ModoAgregado;TiempoViaje;Dist_Viaje_mt;Proposito;PropositoESTRAUS;Edad;Sexo;Ingreso;Actividad
133116;3;2;68,37177408;Transporte Público;0:15:00;0;Volver a casa;Trabajo;25;Femenino;205000;Empleado (excepto F.F.A.A)
133116;4;1;50,20651568;Caminata;0:15:00;0;Al Estudio;Estudio;10;Masculino;0;Estudiante
133116;4;2;50,20651568;Caminata;0:15:00;3454,23;Volver a casa;Estudio;10;Masculino;0;Estudiante
133116;5;1;38,14114366;Caminata;0:10:00;0;Al Estudio;Estudio;5;Masculino;0;Estudiante
133116;5;2;38,14114366;Caminata;0:10:00;3454,23;Volver a casa;Estudio;5;Masculino;0;Estudiante
133116;6;1;38,14114366;Caminata;0:10:00;0;Al Estudio;Estudio;4;Masculino;0;Estudiante
133116;6;2;38,14114366;Caminata;0:10:00;3454,23;Volver a casa;Estudio;4;Masculino;0;Estudiante
133142;1;1;128,2854977;Caminata;0:15:00;0;Al Trabajo;Trabajo;54;Masculino;700000;Profesional
133142;1;2;128,2854977;Caminata;0:15:00;0;Volver a casa;Trabajo;54;Masculino;700000;Profesional
133142;2;1;73,82657276;Transporte Público;0:20:00;2618,8;Ver a alguien;Otros;50;Femenino;0;Duena de Casa
133142;2;2;73,82657276;Transporte Público;0:40:00;2618,8;Volver a casa;Otros;50;Femenino;0;Duena de Casa
133142;3;1;106,662499;Transporte Privado;0:25:00;0;Al Estudio;Estudio;27;Masculino;0;Estudiante
133142;3;2;106,662499;Transporte Privado;0:30:00;0;Volver a casa;Estudio;27;Masculino;0;Estudiante
133142;4;1;68,37177408;Transporte Público;0:30:00;9779,21;Al Trabajo;Trabajo;26;Femenino;300000;Empleado (excepto F.F.A.A)
133142;4;2;68,37177408;Transporte Público;0:30:00;9779,21;Volver a casa;Trabajo;26;Femenino;300000;Empleado (excepto F.F.A.A)
133142;5;1;50,20651568;Transporte Privado;0:45:00;0;Al Estudio;Estudio;9;Masculino;0;Estudiante
133142;5;2;50,20651568;Transporte Privado;0:30:00;0;Volver a casa;Estudio;9;Masculino;0;Estudiante
133142;6;1;69,47479796;Caminata;0:15:00;0;Al Estudio;Estudio;9;Femenino;0;Estudiante
133142;6;2;69,47479796;Caminata;0:15:00;0;Volver a casa;Estudio;9;Femenino;0;Estudiante
133169;1;1;58,40775293;Caminata;0:10:00;0;Al Estudio;Estudio;17;Masculino;0;Estudiante
133169;1;2;58,40775293;Caminata;0:10:00;0;Volver a casa;Estudio;17;Masculino;0;Estudiante
133169;2;1;27,7836352;Transporte Privado;0:15:00;9518,95;Al Trabajo;Trabajo;22;Masculino;120000;Empleado (excepto F.F.A.A)
133169;2;2;27,7836352;Transporte Privado;0:15:00;9518,95;Volver a casa;Trabajo;22;Masculino;120000;Empleado (excepto F.F.A.A)
133169;3;1;27,26051387;Transporte Público;0:30:00;8573,94;Al Trabajo;Trabajo;42;Femenino;205000;Empleado (excepto F.F.A.A)
133169;3;2;27,26051387;Transporte Público;1:00:00;8573,94;Volver a casa;Trabajo;42;Femenino;205000;Empleado (excepto F.F.A.A)
133241;1;1;21,13225621;Transporte Público;0:40:00;8573,94;Al Trabajo;Trabajo;25;Femenino;205000;Obrero
133241;1;2;21,13225621;Transporte Público;0:30:00;8573,94;Volver a casa;Trabajo;25;Femenino;205000;Obrero
133250;1;1;42,83764042;Transporte Privado;0:30:00;9779,21;Al Trabajo;Trabajo;54;Femenino;205000;Trabajador de Cuenta Propia
133250;1;2;42,83764042;Transporte Privado;0:30:00;9779,21;Volver a casa;Trabajo;54;Femenino;205000;Trabajador de Cuenta Propia
133250;2;1;30,06107687;No Motorizado;0:35:00;5739,05;Al Trabajo;Trabajo;64;Masculino;120000;Empleado (excepto F.F.A.A)
133250;2;2;30,06107687;No Motorizado;0:30:00;5739,05;Volver a casa;Trabajo;64;Masculino;120000;Empleado (excepto F.F.A.A)
133250;3;1;39,67251036;Caminata;0:15:00;4119,56;Buscar/dejar alguien;Otros;25;Femenino;0;Duena de Casa
133250;3;2;39,67251036;Caminata;0:15:00;4119,56;Volver a casa;Otros;25;Femenino;0;Duena de Casa
133250;3;3;39,67251036;Caminata;0:15:00;4119,56;Buscar/dejar alguien;Otros;25;Femenino;0;Duena de Casa
133250;3;4;39,67251036;Caminata;0:15:00;4119,56;Volver a casa;Otros;25;Femenino;0;Duena de Casa
133250;4;1;56,02994238;Caminata;0:15:00;4119,56;Al Estudio;Estudio;5;Femenino;0;Estudiante
133250;4;2;56,02994238;Caminata;0:15:00;4119,56;Volver a casa;Estudio;5;Femenino;0;Estudiante
200001;1;1;6,029657068;Transporte Privado;0:07:00;14858,46;Al Trabajo;Trabajo;48;Masculino;900000;Trabajador de Cuenta Propia
200001;1;2;6,029657068;Transporte Privado;0:07:00;1696,91;Buscar/dejar alguien;Otros;48;Masculino;900000;Trabajador de Cuenta Propia
