"ID","walkshed.text"
21,"{""type"":""Polygon"",""coordinates"":[[[-73.2418,-39.8239],[-73.2402,-39.8222],[-73.2394,-39.8217],[-73.2371,-39.8222],[-73.2351,-39.8186],[-73.235,-39.8184],[-73.2334,-39.8177],[-73.2311,-39.8175],[-73.2282,-39.8177],[-73.228,-39.8177],[-73.2279,-39.8211],[-73.2242,-39.8239],[-73.2235,-39.8239],[-73.223,-39.8239],[-73.2228,-39.8239],[-73.2214,-39.8239],[-73.2212,-39.8239],[-73.221,-39.8239],[-73.2195,-39.8243],[-73.2213,-39.8288],[-73.2216,-39.8305],[-73.225,-39.8305],[-73.2275,-39.8307],[-73.2301,-39.8308],[-73.2315,-39.8311],[-73.235,-39.8325],[-73.2374,-39.8315],[-73.2384,-39.831],[-73.2407,-39.8298],[-73.2409,-39.8274],[-73.2418,-39.8239]]]}"
22,"{""type"":""Polygon"",""coordinates"":[[[-73.2104,-39.7991],[-73.2103,-39.7989],[-73.2102,-39.7986],[-73.21,-39.7984],[-73.21,-39.7983],[-73.2099,-39.7983],[-73.2098,-39.7983],[-73.2097,-39.7984],[-73.2095,-39.7984],[-73.2088,-39.7987],[-73.2085,-39.7988],[-73.2075,-39.7991],[-73.2059,-39.7991],[-73.2033,-39.7947],[-73.2034,-39.7947],[-73.2036,-39.7945],[-73.2006,-39.7944],[-73.202,-39.7956],[-73.202,-39.7957],[-73.2049,-39.8001],[-73.2048,-39.8001],[-73.2048,-39.8002],[-73.2055,-39.8043],[-73.2045,-39.8069],[-73.2061,-39.8115],[-73.2096,-39.8139],[-73.2096,-39.8136],[-73.2094,-39.8103],[-73.2093,-39.8093],[-73.2093,-39.808],[-73.2092,-39.8074],[-73.2091,-39.8066],[-73.209,-39.8048],[-73.2097,-39.8011],[-73.2104,-39.7992],[-73.2104,-39.7991]]]}"
23,"{""type"":""Polygon"",""coordinates"":[[[-73.2169,-39.824],[-73.2169,-39.8275],[-73.2151,-39.8312],[-73.2152,-39.8334],[-73.2111,-39.8356],[-73.2105,-39.836],[-73.2105,-39.8361],[-73.2087,-39.8373],[-73.2083,-39.8373],[-73.2034,-39.8368],[-73.2026,-39.8368],[-73.2019,-39.8368],[-73.1997,-39.8367],[-73.1994,-39.836],[-73.1991,-39.8349],[-73.197,-39.8313],[-73.2001,-39.83],[-73.2018,-39.8295],[-73.2022,-39.8292],[-73.2046,-39.8254],[-73.2048,-39.8241],[-73.2051,-39.8235],[-73.2066,-39.8199],[-73.2085,-39.8202],[-73.212,-39.8216],[-73.2133,-39.8218],[-73.2169,-39.824]]]}"
24,"{""type"":""Polygon"",""coordinates"":[[[-73.2547,-39.8337],[-73.2539,-39.8328],[-73.2527,-39.8321],[-73.2514,-39.8274],[-73.2514,-39.8251],[-73.2504,-39.8225],[-73.2492,-39.8194],[-73.2467,-39.8215],[-73.2461,-39.822],[-73.2451,-39.8229],[-73.2433,-39.8255],[-73.2413,-39.8284],[-73.2406,-39.8294],[-73.2402,-39.83],[-73.2409,-39.8303],[-73.2423,-39.8308],[-73.2433,-39.8302],[-73.2464,-39.8336],[-73.2492,-39.8359],[-73.252,-39.8343],[-73.2547,-39.8337]]]}"
25,"{""type"":""Polygon"",""coordinates"":[[[-73.2282,-39.8442],[-73.228,-39.8443],[-73.2273,-39.8446],[-73.2258,-39.8453],[-73.225,-39.8495],[-73.2247,-39.8514],[-73.2245,-39.8523],[-73.2238,-39.8523],[-73.2237,-39.8524],[-73.221,-39.8521],[-73.2194,-39.8519],[-73.2181,-39.85],[-73.2134,-39.8497],[-73.2119,-39.8512],[-73.2118,-39.8514],[-73.2116,-39.8515],[-73.2089,-39.8488],[-73.2088,-39.8486],[-73.2085,-39.8479],[-73.2084,-39.8473],[-73.208,-39.8453],[-73.2079,-39.8448],[-73.2079,-39.844],[-73.2077,-39.8417],[-73.2092,-39.8377],[-73.2119,-39.8365],[-73.2156,-39.8353],[-73.22,-39.8342],[-73.2204,-39.8341],[-73.221,-39.8346],[-73.222,-39.8359],[-73.224,-39.8386],[-73.2269,-39.8422],[-73.2273,-39.8428],[-73.2282,-39.8442]]]}"
26,"{""type"":""Polygon"",""coordinates"":[[[-73.2504,-39.8225],[-73.2501,-39.8246],[-73.2494,-39.8256],[-73.249,-39.8261],[-73.2478,-39.8275],[-73.2466,-39.8282],[-73.2433,-39.8302],[-73.2414,-39.8315],[-73.2414,-39.8315],[-73.2367,-39.8312],[-73.2363,-39.8312],[-73.2348,-39.8311],[-73.2346,-39.831],[-73.234,-39.8306],[-73.2331,-39.8298],[-73.233,-39.8296],[-73.2304,-39.8267],[-73.2269,-39.8261],[-73.2262,-39.825],[-73.2258,-39.8243],[-73.2272,-39.8238],[-73.2286,-39.8202],[-73.2281,-39.8178],[-73.2281,-39.8177],[-73.2311,-39.8175],[-73.2333,-39.8176],[-73.2335,-39.8176],[-73.2381,-39.8178],[-73.2398,-39.8163],[-73.2404,-39.8156],[-73.2442,-39.8147],[-73.2457,-39.8151],[-73.2462,-39.8153],[-73.2487,-39.8176],[-73.2488,-39.8179],[-73.2504,-39.8225]]]}"
27,"{""type"":""Polygon"",""coordinates"":[[[-73.2496,-39.818],[-73.2483,-39.8135],[-73.248,-39.8127],[-73.2474,-39.812],[-73.2433,-39.8101],[-73.2429,-39.81],[-73.2415,-39.8101],[-73.2408,-39.8104],[-73.24,-39.8108],[-73.2384,-39.8118],[-73.238,-39.8121],[-73.2365,-39.8132],[-73.2356,-39.814],[-73.2342,-39.8151],[-73.231,-39.8176],[-73.2284,-39.8179],[-73.2288,-39.8203],[-73.2295,-39.8214],[-73.2303,-39.8222],[-73.2335,-39.8218],[-73.2372,-39.823],[-73.2387,-39.824],[-73.2393,-39.8245],[-73.2397,-39.8247],[-73.2432,-39.8251],[-73.2466,-39.8238],[-73.2495,-39.8207],[-73.2496,-39.818]]]}"
28,"{""type"":""Polygon"",""coordinates"":[[[-73.2406,-39.8432],[-73.2397,-39.8452],[-73.2395,-39.8454],[-73.2379,-39.8454],[-73.2357,-39.8454],[-73.2334,-39.8498],[-73.2332,-39.8503],[-73.2328,-39.8508],[-73.2326,-39.851],[-73.2323,-39.8512],[-73.2319,-39.8514],[-73.2318,-39.8513],[-73.231,-39.8512],[-73.2309,-39.8506],[-73.2313,-39.8486],[-73.2277,-39.8467],[-73.2275,-39.8467],[-73.2238,-39.848],[-73.2231,-39.8479],[-73.2218,-39.8477],[-73.2197,-39.8474],[-73.219,-39.8472],[-73.217,-39.8468],[-73.2161,-39.8466],[-73.2166,-39.8433],[-73.2187,-39.8391],[-73.222,-39.8371],[-73.2241,-39.8361],[-73.2278,-39.8344],[-73.2308,-39.8345],[-73.2326,-39.8353],[-73.234,-39.8361],[-73.2357,-39.8373],[-73.2352,-39.8393],[-73.2378,-39.8418],[-73.2391,-39.8426],[-73.2399,-39.8429],[-73.2406,-39.8432]]]}"
29,"{""type"":""Polygon"",""coordinates"":[[[-73.2514,-39.8251],[-73.2504,-39.8225],[-73.2496,-39.818],[-73.2489,-39.8158],[-73.2496,-39.8114],[-73.2457,-39.8096],[-73.2444,-39.8098],[-73.2443,-39.8098],[-73.2433,-39.8111],[-73.2394,-39.8134],[-73.2367,-39.8159],[-73.2351,-39.8171],[-73.2358,-39.8187],[-73.2347,-39.8235],[-73.2361,-39.8246],[-73.2377,-39.8256],[-73.2397,-39.8267],[-73.244,-39.8278],[-73.2467,-39.8284],[-73.2471,-39.8284],[-73.2506,-39.8277],[-73.2508,-39.8275],[-73.2514,-39.8251]]]}"
30,"{""type"":""Polygon"",""coordinates"":[[[-73.2165,-39.8408],[-73.2159,-39.8392],[-73.2154,-39.8357],[-73.2154,-39.8354],[-73.2153,-39.8336],[-73.2152,-39.8337],[-73.2142,-39.8339],[-73.2094,-39.8332],[-73.2093,-39.8332],[-73.2086,-39.8328],[-73.2062,-39.8336],[-73.2018,-39.8337],[-73.2001,-39.8339],[-73.1993,-39.8341],[-73.1989,-39.8342],[-73.1985,-39.8362],[-73.1985,-39.8368],[-73.1994,-39.8396],[-73.1994,-39.8397],[-73.2002,-39.8402],[-73.2006,-39.8405],[-73.201,-39.8407],[-73.201,-39.8455],[-73.2004,-39.8459],[-73.1961,-39.8477],[-73.1961,-39.8494],[-73.1971,-39.8494],[-73.2,-39.8493],[-73.2039,-39.8486],[-73.206,-39.8491],[-73.2076,-39.8496],[-73.2113,-39.8495],[-73.2139,-39.8475],[-73.2146,-39.8435],[-73.2165,-39.8408]]]}"
