"ID","walkshed.text"
21,"{""type"":""Polygon"",""coordinates"":[[[-71.3486,-29.9573],[-71.3478,-29.9567],[-71.3465,-29.956],[-71.3462,-29.9558],[-71.3429,-29.9539],[-71.3388,-29.9517],[-71.3378,-29.9511],[-71.3366,-29.9512,0.0],[-71.3361,-29.952],[-71.336,-29.9522],[-71.3358,-29.9542],[-71.3358,-29.9545],[-71.3358,-29.9547],[-71.3358,-29.9549],[-71.3358,-29.9554],[-71.3358,-29.956],[-71.3326,-29.9596],[-71.3317,-29.9597],[-71.331,-29.9598],[-71.3308,-29.9598],[-71.3307,-29.9599],[-71.3305,-29.9599],[-71.3303,-29.9599],[-71.3302,-29.9599],[-71.33,-29.96],[-71.3292,-29.9602],[-71.3289,-29.9603],[-71.3284,-29.9644,0.0],[-71.3285,-29.966],[-71.3329,-29.9673],[-71.3367,-29.9703,0.0],[-71.3372,-29.9705],[-71.3373,-29.9706],[-71.3386,-29.9708],[-71.3432,-29.9688],[-71.3457,-29.9686],[-71.3459,-29.9685],[-71.3466,-29.968],[-71.3472,-29.9673],[-71.347,-29.9643],[-71.3477,-29.96],[-71.3486,-29.9573]]]}"
22,"{""type"":""Polygon"",""coordinates"":[[[-71.3488,-29.9674],[-71.3483,-29.9649],[-71.3484,-29.9622],[-71.3474,-29.9601],[-71.3473,-29.9601],[-71.3461,-29.9599],[-71.3441,-29.9599],[-71.3399,-29.9593],[-71.3392,-29.9593],[-71.3343,-29.9599],[-71.3341,-29.96],[-71.3339,-29.9602],[-71.3337,-29.9614],[-71.3324,-29.9657,0.0],[-71.3323,-29.9665,0.0],[-71.3326,-29.97],[-71.3338,-29.9713],[-71.3355,-29.9743],[-71.3356,-29.9744],[-71.3358,-29.9745],[-71.3404,-29.9726],[-71.3409,-29.9722],[-71.3456,-29.9717],[-71.3482,-29.9693],[-71.3488,-29.9674]]]}"
23,"{""type"":""Polygon"",""coordinates"":[[[-71.2683,-29.9518],[-71.2683,-29.9519],[-71.2677,-29.9546],[-71.2677,-29.9547],[-71.2677,-29.9549],[-71.2673,-29.9578],[-71.2681,-29.9602],[-71.266,-29.9646],[-71.2633,-29.9674,0.0],[-71.2619,-29.9678],[-71.2619,-29.9678],[-71.2619,-29.9678],[-71.258,-29.9646],[-71.2571,-29.9639],[-71.2563,-29.9634],[-71.255,-29.9625],[-71.2513,-29.9597],[-71.2505,-29.9591],[-71.2496,-29.9584],[-71.2495,-29.958],[-71.2504,-29.9569],[-71.2513,-29.9558],[-71.2514,-29.9557],[-71.2516,-29.9558],[-71.2528,-29.9562],[-71.2558,-29.9567],[-71.2587,-29.9545],[-71.2587,-29.9544],[-71.259,-29.9542],[-71.2602,-29.9534],[-71.2625,-29.9503],[-71.2648,-29.9498],[-71.267,-29.9495],[-71.268,-29.9495,0.0],[-71.2682,-29.9497,0.0],[-71.2683,-29.9518]]]}"
24,"{""type"":""Polygon"",""coordinates"":[[[-71.3368,-29.9697,0.0],[-71.3368,-29.9692,0.0],[-71.3361,-29.9674,0.0],[-71.3358,-29.9667],[-71.331,-29.966],[-71.3308,-29.9659],[-71.3299,-29.9658,0.0],[-71.3264,-29.9671],[-71.3234,-29.9667],[-71.3229,-29.9665],[-71.3217,-29.966],[-71.3211,-29.9657],[-71.3207,-29.9657],[-71.3193,-29.9663],[-71.319,-29.9665],[-71.3169,-29.9682],[-71.3168,-29.9687],[-71.3169,-29.9694],[-71.3169,-29.9696],[-71.3175,-29.9705],[-71.3204,-29.9736],[-71.3231,-29.9759],[-71.3244,-29.9775],[-71.3248,-29.9774],[-71.329,-29.9755,0.0],[-71.3318,-29.9751],[-71.334,-29.9706],[-71.3347,-29.9703],[-71.3368,-29.9697,0.0]]]}"
25,"{""type"":""Polygon"",""coordinates"":[[[-71.3344,-29.9682],[-71.3343,-29.9678],[-71.3331,-29.967],[-71.333,-29.9669],[-71.3323,-29.9665],[-71.3317,-29.9662],[-71.3315,-29.9661],[-71.3313,-29.966],[-71.331,-29.966],[-71.3308,-29.9659],[-71.3299,-29.9658,0.0],[-71.326,-29.9673,0.0],[-71.3234,-29.9667],[-71.3229,-29.9665],[-71.3217,-29.966],[-71.3211,-29.9657],[-71.3207,-29.9657],[-71.3193,-29.9663],[-71.3171,-29.9676],[-71.3169,-29.9677],[-71.3158,-29.9688],[-71.3165,-29.9706],[-71.3176,-29.9724],[-71.319,-29.9741],[-71.3194,-29.9743],[-71.3199,-29.9744],[-71.321,-29.9746],[-71.3247,-29.9765],[-71.3251,-29.9764],[-71.3272,-29.9753],[-71.3313,-29.9742],[-71.3337,-29.9698],[-71.3341,-29.9696],[-71.3344,-29.9682]]]}"
26,"{""type"":""Polygon"",""coordinates"":[[[-71.3593,-29.9598],[-71.359,-29.9613],[-71.3573,-29.9645],[-71.3551,-29.9663],[-71.3551,-29.9663],[-71.3505,-29.9673],[-71.3484,-29.9684],[-71.3468,-29.9689],[-71.3454,-29.9689],[-71.3423,-29.9688],[-71.3407,-29.9688],[-71.3401,-29.9674,0.0],[-71.34,-29.9662],[-71.3399,-29.9628],[-71.3405,-29.9589],[-71.3407,-29.9584,0.0],[-71.3426,-29.9559],[-71.3456,-29.9524],[-71.346,-29.9519],[-71.3489,-29.9522],[-71.3493,-29.9525],[-71.3541,-29.953],[-71.3557,-29.9536],[-71.3576,-29.956],[-71.3593,-29.9598]]]}"
27,"{""type"":""Polygon"",""coordinates"":[[[-71.3061,-29.9561],[-71.3046,-29.9551],[-71.3042,-29.9549],[-71.3033,-29.9545],[-71.3024,-29.954],[-71.3021,-29.9538],[-71.3017,-29.9536],[-71.301,-29.9533],[-71.3005,-29.953],[-71.2966,-29.9503],[-71.296,-29.9497],[-71.2952,-29.9491],[-71.2951,-29.949],[-71.2919,-29.9463],[-71.291,-29.9454],[-71.2905,-29.9449],[-71.2903,-29.9446],[-71.2901,-29.9444],[-71.2895,-29.9439],[-71.2894,-29.9438],[-71.2892,-29.9437],[-71.2875,-29.9448],[-71.2864,-29.9465],[-71.2858,-29.9491,0.0],[-71.2859,-29.9492],[-71.2895,-29.9509],[-71.2916,-29.9501],[-71.2954,-29.953],[-71.2965,-29.9545],[-71.2966,-29.9546],[-71.2989,-29.9562],[-71.3032,-29.9581],[-71.3036,-29.958],[-71.3061,-29.9561]]]}"
28,"{""type"":""Polygon"",""coordinates"":[[[-71.3712,-29.9876],[-71.369,-29.9896],[-71.3651,-29.9919],[-71.3638,-29.9923],[-71.3634,-29.9921],[-71.363,-29.9919],[-71.3626,-29.9917],[-71.3621,-29.9914],[-71.3617,-29.9912],[-71.3608,-29.9908],[-71.3565,-29.9908],[-71.356,-29.9908],[-71.3558,-29.9905],[-71.3558,-29.9904],[-71.3559,-29.9899],[-71.356,-29.9863],[-71.3535,-29.9838],[-71.3534,-29.9838],[-71.3534,-29.9838],[-71.3533,-29.9837],[-71.3532,-29.9837],[-71.3524,-29.983],[-71.3521,-29.9827],[-71.3517,-29.9823],[-71.3522,-29.9823],[-71.3555,-29.9842],[-71.3575,-29.9842],[-71.3607,-29.9832],[-71.3628,-29.9842],[-71.3664,-29.9811],[-71.3665,-29.9801],[-71.3665,-29.9798],[-71.3673,-29.98],[-71.3691,-29.9842],[-71.3704,-29.9842],[-71.3711,-29.9852],[-71.3712,-29.9876]]]}"
29,"{""type"":""Polygon"",""coordinates"":[[[-71.3097,-29.9752],[-71.3085,-29.9711,0.0],[-71.3088,-29.9696],[-71.3091,-29.9677],[-71.3064,-29.9673],[-71.3038,-29.9668],[-71.3037,-29.9668],[-71.3024,-29.9669],[-71.2976,-29.9667],[-71.2966,-29.967],[-71.2966,-29.9688],[-71.2962,-29.972],[-71.2939,-29.976],[-71.2934,-29.9761],[-71.292,-29.9763],[-71.2886,-29.9768],[-71.2881,-29.9769],[-71.2877,-29.977],[-71.2875,-29.9771],[-71.2889,-29.9792],[-71.29,-29.9797],[-71.2945,-29.9805],[-71.2976,-29.9815],[-71.2985,-29.9806],[-71.3004,-29.9793],[-71.3039,-29.9803],[-71.304,-29.9804],[-71.3041,-29.9804],[-71.3078,-29.9775],[-71.3095,-29.9757],[-71.3097,-29.9752]]]}"
30,"{""type"":""Polygon"",""coordinates"":[[[-71.3435,-30.0002],[-71.3427,-30.0013],[-71.3424,-30.0018],[-71.3398,-30.0055],[-71.3355,-30.0075],[-71.3353,-30.0077],[-71.3347,-30.0078],[-71.333,-30.0073],[-71.329,-30.0067],[-71.3279,-30.0045],[-71.3279,-29.9997],[-71.3279,-29.9994],[-71.3285,-29.9986],[-71.3301,-29.9943],[-71.3325,-29.9935],[-71.3362,-29.9922],[-71.3385,-29.991],[-71.3427,-29.9928],[-71.3427,-29.9931],[-71.3422,-29.9955],[-71.3435,-30.0002]]]}"
