"ID","walkshed.text"
21,"{""type"":""Polygon"",""coordinates"":[[[-73.0507,-36.8123],[-73.0503,-36.8112],[-73.0489,-36.8079,0.0],[-73.0483,-36.8065,0.0],[-73.0478,-36.8059,0.0],[-73.0471,-36.8048,0.0],[-73.0459,-36.8034,0.0],[-73.0447,-36.8027],[-73.0411,-36.8015],[-73.0393,-36.8015,0.0],[-73.0381,-36.8018,0.0],[-73.0387,-36.8035],[-73.0353,-36.8067],[-73.0351,-36.8067,0.0],[-73.0317,-36.8045],[-73.0306,-36.8045,0.0],[-73.0294,-36.8065],[-73.0291,-36.8069],[-73.0288,-36.8102],[-73.0289,-36.8114],[-73.0293,-36.8125],[-73.0293,-36.8126],[-73.0324,-36.8138],[-73.0362,-36.8153,0.0],[-73.0367,-36.817],[-73.0375,-36.8181],[-73.0394,-36.8177,0.0],[-73.0426,-36.8168],[-73.0446,-36.8163,0.0],[-73.047,-36.8153],[-73.0476,-36.815],[-73.0498,-36.8133],[-73.0506,-36.8124],[-73.0507,-36.8123]]]}"
22,"{""type"":""Polygon"",""coordinates"":[[[-73.0022,-36.8331],[-73.0021,-36.8321],[-73.002,-36.8311],[-73.002,-36.8307],[-73.0013,-36.8303],[-72.9982,-36.8301],[-72.9982,-36.83],[-72.9959,-36.8278],[-72.9961,-36.8246],[-72.9999,-36.8223],[-73.0004,-36.8222],[-73.0006,-36.8222],[-73.0008,-36.8222,0.0],[-72.9985,-36.8209],[-72.9962,-36.8206],[-72.9939,-36.8203],[-72.9902,-36.8205,0.0],[-72.988,-36.8194],[-72.988,-36.8194],[-72.9891,-36.8231],[-72.9907,-36.8274],[-72.9914,-36.8309],[-72.991,-36.8331],[-72.9909,-36.8341],[-72.9966,-36.8329],[-72.9968,-36.8334],[-72.9969,-36.8338],[-72.9972,-36.8351],[-73.0011,-36.8335],[-73.0022,-36.8331]]]}"
23,"{""type"":""Polygon"",""coordinates"":[[[-73.0238,-36.8254],[-73.0232,-36.8214],[-73.0237,-36.8203],[-73.0236,-36.8197],[-73.0232,-36.8191],[-73.0226,-36.8189],[-73.0195,-36.8179],[-73.0189,-36.8177],[-73.017,-36.8196,0.0],[-73.0166,-36.8208],[-73.0155,-36.825],[-73.016,-36.8259],[-73.017,-36.8263],[-73.0205,-36.8262],[-73.0226,-36.8267],[-73.0236,-36.8271],[-73.0238,-36.8254]]]}"
24,"{""type"":""Polygon"",""coordinates"":[[[-73.1163,-36.8608],[-73.1164,-36.8624],[-73.1169,-36.864],[-73.1177,-36.8654],[-73.1187,-36.8667],[-73.12,-36.8677],[-73.1214,-36.8685],[-73.123,-36.869],[-73.1246,-36.8691],[-73.1263,-36.869],[-73.1279,-36.8685],[-73.1293,-36.8677],[-73.1306,-36.8667],[-73.1316,-36.8654],[-73.1324,-36.864],[-73.1329,-36.8624],[-73.133,-36.8608],[-73.1329,-36.8591],[-73.1324,-36.8576],[-73.1316,-36.8561],[-73.1306,-36.8548],[-73.1293,-36.8538],[-73.1279,-36.853],[-73.1263,-36.8525],[-73.1246,-36.8524],[-73.123,-36.8525],[-73.1214,-36.853],[-73.12,-36.8538],[-73.1187,-36.8548],[-73.1177,-36.8561],[-73.1169,-36.8576],[-73.1164,-36.8591],[-73.1163,-36.8608]]]}"
25,"{""type"":""Polygon"",""coordinates"":[[[-73.1497,-36.8469],[-73.1494,-36.85],[-73.1493,-36.8531],[-73.1486,-36.8538],[-73.1479,-36.8539],[-73.1474,-36.8539],[-73.1469,-36.8539],[-73.1463,-36.854],[-73.1455,-36.8541],[-73.1409,-36.8559],[-73.1399,-36.8572],[-73.1396,-36.8572],[-73.1385,-36.8573],[-73.1349,-36.8549],[-73.134,-36.8549,0.0],[-73.1344,-36.8513],[-73.1343,-36.8508],[-73.1308,-36.8478,0.0],[-73.1322,-36.846],[-73.135,-36.8438],[-73.1378,-36.8426],[-73.1405,-36.8404,0.0],[-73.1431,-36.8414],[-73.1446,-36.8426],[-73.1483,-36.8451],[-73.1497,-36.8469]]]}"
26,"{""type"":""Polygon"",""coordinates"":[[[-73.1337,-36.8246],[-73.1334,-36.8248],[-73.1326,-36.8254],[-73.1323,-36.8256],[-73.1317,-36.8261],[-73.1297,-36.8272],[-73.1261,-36.8286],[-73.1238,-36.8321],[-73.1233,-36.8343],[-73.1231,-36.8353],[-73.1229,-36.8365],[-73.1228,-36.8371],[-73.1183,-36.8377],[-73.1179,-36.8375],[-73.1171,-36.836],[-73.1147,-36.8332],[-73.1123,-36.8304],[-73.1153,-36.8274],[-73.1167,-36.8267],[-73.1182,-36.8261],[-73.1189,-36.8259],[-73.1196,-36.8257],[-73.1238,-36.8247],[-73.1253,-36.8241],[-73.1294,-36.8235],[-73.1311,-36.8232],[-73.1326,-36.8229],[-73.1335,-36.8236],[-73.1337,-36.8246]]]}"
27,"{""type"":""Polygon"",""coordinates"":[[[-73.0638,-36.8269],[-73.0619,-36.8285],[-73.0618,-36.8285],[-73.0618,-36.8286],[-73.0617,-36.8286],[-73.0617,-36.8286],[-73.0617,-36.8286],[-73.0616,-36.8286],[-73.0581,-36.8285,0.0],[-73.0555,-36.8299],[-73.0512,-36.8318],[-73.0467,-36.8314],[-73.0436,-36.8288],[-73.043,-36.8247],[-73.0421,-36.8217,0.0],[-73.0416,-36.8202],[-73.0414,-36.8188],[-73.0442,-36.8162,0.0],[-73.0473,-36.8154,0.0],[-73.0491,-36.8149],[-73.0527,-36.8137],[-73.0532,-36.8137],[-73.0565,-36.8134,0.0],[-73.0582,-36.8131,0.0],[-73.0583,-36.8131],[-73.0591,-36.8148,0.0],[-73.0598,-36.8164,0.0],[-73.0605,-36.8183],[-73.0608,-36.8192],[-73.0631,-36.8232],[-73.0638,-36.8269]]]}"
28,"{""type"":""Polygon"",""coordinates"":[[[-73.1406,-36.8831],[-73.1406,-36.883],[-73.1389,-36.8802],[-73.1383,-36.878],[-73.1373,-36.8772],[-73.1373,-36.8771],[-73.1349,-36.8762],[-73.1338,-36.8759],[-73.1321,-36.876],[-73.1305,-36.8762],[-73.1279,-36.8799],[-73.1268,-36.8845],[-73.1304,-36.8878],[-73.1305,-36.889,0.0],[-73.1306,-36.8892],[-73.1323,-36.889,0.0],[-73.136,-36.8884],[-73.137,-36.8874],[-73.1384,-36.8859],[-73.1388,-36.8854],[-73.1406,-36.8831]]]}"
29,"{""type"":""Polygon"",""coordinates"":[[[-73.0455,-36.8179],[-73.0454,-36.8167,0.0],[-73.0452,-36.8161],[-73.0444,-36.8142],[-73.0426,-36.8104],[-73.0369,-36.8075],[-73.0359,-36.8072,0.0],[-73.0326,-36.8065],[-73.0319,-36.8066],[-73.0317,-36.8067,0.0],[-73.0314,-36.8072],[-73.0284,-36.8105],[-73.0283,-36.8105],[-73.0283,-36.8106],[-73.0282,-36.8107],[-73.0281,-36.8108],[-73.0281,-36.8108],[-73.0281,-36.8109],[-73.0281,-36.811],[-73.0281,-36.811],[-73.0281,-36.8111],[-73.0281,-36.8111],[-73.0282,-36.8113],[-73.0281,-36.8155],[-73.026,-36.8163],[-73.0252,-36.8166],[-73.0234,-36.8169],[-73.0231,-36.8174,0.0],[-73.0243,-36.818],[-73.0251,-36.8182],[-73.0254,-36.8182],[-73.0266,-36.8185],[-73.0267,-36.8185],[-73.028,-36.8188],[-73.0305,-36.8179],[-73.0328,-36.8206],[-73.0328,-36.8213],[-73.0328,-36.8214],[-73.0332,-36.8221],[-73.0333,-36.8222],[-73.0337,-36.8225],[-73.0341,-36.8228],[-73.0345,-36.823],[-73.0363,-36.8238],[-73.0367,-36.824],[-73.0372,-36.8236,0.0],[-73.0401,-36.8222,0.0],[-73.0418,-36.8216],[-73.044,-36.8204,0.0],[-73.0447,-36.8199],[-73.0455,-36.8185],[-73.0455,-36.8184],[-73.0455,-36.8179]]]}"
30,"{""type"":""Polygon"",""coordinates"":[[[-73.0701,-36.8402],[-73.0664,-36.8383],[-73.0647,-36.8376],[-73.0604,-36.839],[-73.0594,-36.8402],[-73.0588,-36.8411],[-73.0582,-36.8419],[-73.0579,-36.8422],[-73.0566,-36.8447],[-73.055,-36.8451],[-73.053,-36.8436],[-73.0529,-36.8435],[-73.0517,-36.8417],[-73.0517,-36.8416],[-73.0517,-36.8416],[-73.0522,-36.8398],[-73.0495,-36.8359],[-73.0477,-36.8339],[-73.0471,-36.8322],[-73.0486,-36.8307,0.0],[-73.0531,-36.8289],[-73.0569,-36.8279],[-73.0602,-36.8277,0.0],[-73.0631,-36.8267],[-73.0632,-36.8267],[-73.0663,-36.8301,0.0],[-73.0674,-36.8304],[-73.0673,-36.8307],[-73.0701,-36.8402]]]}"
