"ID","walkshed.text"
21,"{""type"":""Polygon"",""coordinates"":[[[-70.6561,-33.4691],[-70.6561,-33.4693],[-70.6561,-33.4695],[-70.655,-33.4704,0.0],[-70.6512,-33.4732,0.0],[-70.6477,-33.4757,0.0],[-70.6448,-33.4776,0.0],[-70.6436,-33.4788,0.0],[-70.642,-33.4781,0.0],[-70.6415,-33.4777],[-70.6391,-33.4747],[-70.6372,-33.473],[-70.6366,-33.4725],[-70.6356,-33.4713],[-70.6343,-33.4698],[-70.633,-33.4681],[-70.6325,-33.4656,0.0],[-70.6343,-33.4641],[-70.6356,-33.4633,0.0],[-70.6372,-33.4623],[-70.6405,-33.4599,0.0],[-70.6433,-33.4582,0.0],[-70.6457,-33.4569,0.0],[-70.6476,-33.4593],[-70.6491,-33.4608],[-70.6495,-33.4612],[-70.6528,-33.4642],[-70.6546,-33.4667],[-70.6561,-33.4691]]]}"
22,"{""type"":""Polygon"",""coordinates"":[[[-70.6751,-33.437,0.0],[-70.6735,-33.4351],[-70.6729,-33.4345],[-70.6721,-33.4338],[-70.6715,-33.4332],[-70.6691,-33.4292,0.0],[-70.6689,-33.4291],[-70.6676,-33.4288],[-70.6675,-33.4287],[-70.6665,-33.4288],[-70.6657,-33.429],[-70.6616,-33.4274],[-70.6612,-33.4268],[-70.6611,-33.4267],[-70.6609,-33.4267],[-70.66,-33.4272],[-70.6591,-33.4278],[-70.6572,-33.4306],[-70.6547,-33.4317],[-70.6517,-33.4326],[-70.6495,-33.4346],[-70.65,-33.4358],[-70.6513,-33.4373,0.0],[-70.6524,-33.4386],[-70.6547,-33.4411],[-70.6548,-33.4412],[-70.656,-33.4424,0.0],[-70.6576,-33.4438,0.0],[-70.6585,-33.4445],[-70.6587,-33.4446],[-70.6594,-33.4451,0.0],[-70.6608,-33.446,0.0],[-70.6618,-33.4463,0.0],[-70.662,-33.4462,0.0],[-70.665,-33.445,0.0],[-70.6682,-33.4426],[-70.6696,-33.4416],[-70.6709,-33.4406,0.0],[-70.672,-33.4395],[-70.6751,-33.437,0.0]]]}"
23,"{""type"":""Polygon"",""coordinates"":[[[-70.6427,-33.4515],[-70.6423,-33.4501],[-70.6419,-33.4487],[-70.6393,-33.445,0.0],[-70.6384,-33.4433,0.0],[-70.6381,-33.4427,0.0],[-70.6347,-33.4392,0.0],[-70.6328,-33.4397],[-70.6304,-33.441,0.0],[-70.6277,-33.4426],[-70.6244,-33.4449],[-70.6229,-33.4456],[-70.6227,-33.4457,0.0],[-70.6223,-33.448,0.0],[-70.6213,-33.4529,0.0],[-70.6214,-33.4536,0.0],[-70.6216,-33.454,0.0],[-70.6244,-33.4571],[-70.6248,-33.4574],[-70.6265,-33.4584],[-70.6303,-33.4594,0.0],[-70.6327,-33.4585],[-70.6354,-33.4568,0.0],[-70.6372,-33.4557,0.0],[-70.6388,-33.4549],[-70.6413,-33.4528,0.0],[-70.6427,-33.4515]]]}"
24,"{""type"":""Polygon"",""coordinates"":[[[-70.6706,-33.4731,0.0],[-70.67,-33.4743],[-70.6694,-33.4751,0.0],[-70.6675,-33.4766],[-70.6648,-33.4785,0.0],[-70.6644,-33.478],[-70.6636,-33.4773],[-70.6627,-33.4766],[-70.6579,-33.4773],[-70.6562,-33.4788,0.0],[-70.6562,-33.4788,0.0],[-70.6539,-33.4785,0.0],[-70.6532,-33.478,0.0],[-70.6518,-33.4766],[-70.6523,-33.4746],[-70.6509,-33.4713,0.0],[-70.65,-33.4703],[-70.6496,-33.4699,0.0],[-70.6502,-33.4688],[-70.6525,-33.4665],[-70.6551,-33.4655],[-70.6572,-33.4633],[-70.6575,-33.4629],[-70.6605,-33.4622],[-70.6626,-33.463],[-70.6647,-33.4655],[-70.665,-33.4657,0.0],[-70.665,-33.4662],[-70.665,-33.4665],[-70.6692,-33.4689],[-70.6701,-33.4706,0.0],[-70.6706,-33.4731,0.0]]]}"
25,"{""type"":""Polygon"",""coordinates"":[[[-70.703,-33.4637,0.0],[-70.7028,-33.4639,0.0],[-70.7012,-33.4647,0.0],[-70.6985,-33.4659,0.0],[-70.6976,-33.4662],[-70.6931,-33.4682,0.0],[-70.6913,-33.4689],[-70.6906,-33.4685],[-70.688,-33.4666],[-70.6871,-33.4659],[-70.6852,-33.4642,0.0],[-70.6823,-33.4614,0.0],[-70.6808,-33.4599],[-70.6797,-33.4589],[-70.6797,-33.4588],[-70.6808,-33.4544],[-70.6851,-33.4524],[-70.6884,-33.4512],[-70.6925,-33.4489,0.0],[-70.6965,-33.4514,0.0],[-70.698,-33.4531,0.0],[-70.6994,-33.4546],[-70.6995,-33.4548],[-70.7012,-33.4587],[-70.7026,-33.4626],[-70.703,-33.4637,0.0]]]}"
26,"{""type"":""Polygon"",""coordinates"":[[[-70.6625,-33.4757],[-70.6605,-33.4734],[-70.66,-33.4702],[-70.6599,-33.4701],[-70.6597,-33.47],[-70.6562,-33.4666,0.0],[-70.6538,-33.4652],[-70.6528,-33.4648,0.0],[-70.6519,-33.4645],[-70.6487,-33.4664,0.0],[-70.6474,-33.4673,0.0],[-70.644,-33.4693],[-70.6416,-33.4717,0.0],[-70.6401,-33.4728],[-70.6397,-33.4737],[-70.6397,-33.4752],[-70.6415,-33.4777],[-70.6418,-33.4779,0.0],[-70.6436,-33.4796],[-70.6463,-33.4815],[-70.649,-33.4826,0.0],[-70.6492,-33.4827,0.0],[-70.6522,-33.4824,0.0],[-70.6548,-33.4832,0.0],[-70.6573,-33.4821,0.0],[-70.6599,-33.4788,0.0],[-70.6606,-33.478],[-70.6613,-33.4773],[-70.6625,-33.4757]]]}"
27,"{""type"":""Polygon"",""coordinates"":[[[-70.6721,-33.4727,0.0],[-70.6716,-33.4706],[-70.6698,-33.4683],[-70.6696,-33.4687,0.0],[-70.665,-33.4668],[-70.665,-33.4668,0.0],[-70.6647,-33.4664],[-70.6637,-33.4655],[-70.6623,-33.464],[-70.6605,-33.4632],[-70.6577,-33.464],[-70.6571,-33.4642],[-70.6545,-33.4667,0.0],[-70.6523,-33.4684,0.0],[-70.6515,-33.469],[-70.6507,-33.47,0.0],[-70.6509,-33.4746,0.0],[-70.6502,-33.4766],[-70.6516,-33.4783],[-70.6538,-33.4797,0.0],[-70.6567,-33.4798],[-70.6575,-33.4787],[-70.6594,-33.4773],[-70.6625,-33.478],[-70.6631,-33.4787,0.0],[-70.6633,-33.4787,0.0],[-70.6641,-33.4793],[-70.6648,-33.4799,0.0],[-70.6673,-33.4782],[-70.6695,-33.4767],[-70.6716,-33.4747],[-70.6721,-33.4727,0.0]]]}"
28,"{""type"":""Polygon"",""coordinates"":[[[-70.6744,-33.4087,0.0],[-70.6722,-33.4062,0.0],[-70.67,-33.4033,0.0],[-70.6699,-33.4033],[-70.6699,-33.4033,0.0],[-70.6695,-33.4038,0.0],[-70.665,-33.4021],[-70.6637,-33.4022],[-70.6622,-33.4025],[-70.6611,-33.4027],[-70.6575,-33.4037],[-70.6561,-33.405],[-70.6535,-33.4072],[-70.6523,-33.41],[-70.6543,-33.4144],[-70.6545,-33.4149],[-70.6554,-33.4165],[-70.6564,-33.4179,0.0],[-70.6607,-33.4186],[-70.662,-33.4187],[-70.6635,-33.4185,0.0],[-70.6675,-33.416],[-70.6686,-33.4153],[-70.6693,-33.4149],[-70.6695,-33.4147],[-70.6729,-33.4118],[-70.6744,-33.4087,0.0]]]}"
29,"{""type"":""Polygon"",""coordinates"":[[[-70.7113,-33.4587],[-70.7113,-33.4587],[-70.7103,-33.4596],[-70.7062,-33.4617],[-70.7052,-33.4626,0.0],[-70.7016,-33.4632],[-70.6975,-33.4637],[-70.6954,-33.463,0.0],[-70.6941,-33.4626,0.0],[-70.694,-33.4626,0.0],[-70.6939,-33.4625,0.0],[-70.6937,-33.4625,0.0],[-70.6937,-33.4625,0.0],[-70.6937,-33.4625],[-70.6937,-33.4625,0.0],[-70.6936,-33.4624,0.0],[-70.6929,-33.4618,0.0],[-70.6902,-33.4591,0.0],[-70.6896,-33.458],[-70.6884,-33.4559,0.0],[-70.686,-33.4529],[-70.686,-33.4527],[-70.686,-33.4526],[-70.6894,-33.4516],[-70.6925,-33.449],[-70.6935,-33.4479],[-70.6961,-33.4469,0.0],[-70.6974,-33.4466],[-70.7003,-33.448],[-70.7027,-33.4477,0.0],[-70.7041,-33.4487],[-70.7058,-33.4509],[-70.7064,-33.4518],[-70.7087,-33.4557],[-70.7102,-33.4575,0.0],[-70.7113,-33.4587]]]}"
30,"{""type"":""Polygon"",""coordinates"":[[[-70.6826,-33.4181],[-70.6816,-33.4213],[-70.6777,-33.4232],[-70.6737,-33.4232],[-70.6728,-33.4243],[-70.6725,-33.4248,0.0],[-70.6718,-33.4273],[-70.6717,-33.4276],[-70.6714,-33.4275],[-70.6665,-33.427],[-70.6662,-33.4271],[-70.6659,-33.4272],[-70.6655,-33.4274],[-70.6651,-33.4275],[-70.6649,-33.4276],[-70.6647,-33.4276],[-70.6642,-33.4278,0.0],[-70.664,-33.4279,0.0],[-70.663,-33.4282],[-70.663,-33.4282],[-70.6618,-33.4245,0.0],[-70.6609,-33.423],[-70.6606,-33.4226],[-70.6603,-33.4223],[-70.6596,-33.4214],[-70.6593,-33.4211,0.0],[-70.6606,-33.4204],[-70.6636,-33.4181],[-70.6648,-33.417],[-70.6654,-33.4166],[-70.6661,-33.416],[-70.6677,-33.4149],[-70.6681,-33.4146],[-70.6694,-33.4144],[-70.6732,-33.4139],[-70.6776,-33.4146],[-70.6788,-33.4145],[-70.6823,-33.418],[-70.6826,-33.4181]]]}"
